filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
django-allauth-underground-0.1.0/test_settings.py,1,Missing module docstring,Category.C,missing-docstring,Possible hardcoded password: 'psst',MEDIUM,LOW
django-allauth-underground-0.1.0/allauth/account/forms.py,127,Module 'allauth.account.app_settings' has no 'AUTHENTICATION_METHOD' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
django-allauth-underground-0.1.0/allauth/account/utils.py,393,TODO: Handle this case properly,Category.W,fixme,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
django-allauth-underground-0.1.0/allauth/account/app_settings.py,21,"Consider changing ""not self.AUTHENTICATION_METHOD == self.AuthenticationMethod.EMAIL"" to ""self.AUTHENTICATION_METHOD != self.AuthenticationMethod.EMAIL""",Category.C,unneeded-not,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
django-allauth-underground-0.1.0/allauth/account/tests.py,174,Method could be a function,Category.R,no-self-use,Possible hardcoded password: 'doe',MEDIUM,LOW
django-allauth-underground-0.1.0/allauth/account/tests.py,1131,Method could be a function,Category.R,no-self-use,Possible hardcoded password: 'doe',MEDIUM,LOW
django-allauth-underground-0.1.0/allauth/socialaccount/providers/linkedin/provider.py,17,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
django-allauth-underground-0.1.0/allauth/socialaccount/providers/linkedin/views.py,1,Missing module docstring,Category.C,missing-docstring,"Using ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
django-allauth-underground-0.1.0/allauth/socialaccount/providers/linkedin_oauth2/provider.py,17,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
