filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
python-jose-1.3.1/jose/jwk.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA256 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
python-jose-1.3.1/jose/jwk.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA384 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,10,[10],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
python-jose-1.3.1/jose/jwk.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module Crypto.Hash.SHA512 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,11,"[11, 12]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
python-jose-1.3.1/jose/jwk.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
python-jose-1.3.1/jose/jwk.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module PKCS1_v1_5 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
python-jose-1.3.1/jose/jwk.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module DerSequence are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,15,"[15, 16]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
python-jose-1.3.1/jose/jws.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",214,[214],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
python-jose-1.3.1/jose/jws.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",223,[223],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
