filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Products.PlonePAS-3.8/Products/PlonePAS/Extensions/Install.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,266,[266],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Products.PlonePAS-3.8/Products/PlonePAS/Extensions/Install.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,839,[839],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Products.PlonePAS-3.8/Products/PlonePAS/Extensions/Install.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,851,[851],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Products.PlonePAS-3.8/Products/PlonePAS/tests/test_basic_ops.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: 'secret',63,"[63, 64, 65, 66, 67, 68, 69, 70, 71, 72]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
Products.PlonePAS-3.8/Products/PlonePAS/tests/test_basic_ops.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'new_secret',137,[137],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
Products.PlonePAS-3.8/Products/PlonePAS/tests/test_caching.py,hardcoded_password_default,B107,LOW,MEDIUM,Possible hardcoded password: 'secret',59,"[59, 60, 61, 62, 63, 64, 65, 66, 67, 68]",https://bandit.readthedocs.io/en/latest/plugins/b107_hardcoded_password_default.html
Products.PlonePAS-3.8/Products/PlonePAS/tests/test_membership.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,[32],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Products.PlonePAS-3.8/Products/PlonePAS/tests/test_membership.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,36,[36],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
